2025-01-27 09:31:10,855 INFO    MainThread:34536 [wandb_setup.py:_flush():68] Current SDK version is 0.19.4
2025-01-27 09:31:10,856 INFO    MainThread:34536 [wandb_setup.py:_flush():68] Configure stats pid to 34536
2025-01-27 09:31:10,856 INFO    MainThread:34536 [wandb_setup.py:_flush():68] Loading settings from C:\Users\82102\.config\wandb\settings
2025-01-27 09:31:10,856 INFO    MainThread:34536 [wandb_setup.py:_flush():68] Loading settings from G:\My Drive\Git\class_10623\hw0\handout\wandb\settings
2025-01-27 09:31:10,856 INFO    MainThread:34536 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-27 09:31:10,857 INFO    MainThread:34536 [wandb_init.py:setup_run_log_directory():624] Logging user logs to G:\My Drive\Git\class_10623\hw0\handout\wandb\run-20250127_093110-qm0izg83\logs\debug.log
2025-01-27 09:31:10,857 INFO    MainThread:34536 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to G:\My Drive\Git\class_10623\hw0\handout\wandb\run-20250127_093110-qm0izg83\logs\debug-internal.log
2025-01-27 09:31:10,857 INFO    MainThread:34536 [wandb_init.py:init():743] calling init triggers
2025-01-27 09:31:10,857 INFO    MainThread:34536 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {}
2025-01-27 09:31:10,857 INFO    MainThread:34536 [wandb_init.py:init():776] starting backend
2025-01-27 09:31:11,067 INFO    MainThread:34536 [wandb_init.py:init():780] sending inform_init request
2025-01-27 09:31:11,099 INFO    MainThread:34536 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-01-27 09:31:11,100 INFO    MainThread:34536 [wandb_init.py:init():795] backend started and connected
2025-01-27 09:31:11,100 INFO    MainThread:34536 [wandb_init.py:init():888] updated telemetry
2025-01-27 09:31:11,149 INFO    MainThread:34536 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-01-27 09:31:11,573 INFO    MainThread:34536 [wandb_init.py:init():967] starting run threads in backend
2025-01-27 09:31:11,650 INFO    MainThread:34536 [wandb_run.py:_console_start():2409] atexit reg
2025-01-27 09:31:11,650 INFO    MainThread:34536 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-01-27 09:31:11,650 INFO    MainThread:34536 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-01-27 09:31:11,650 INFO    MainThread:34536 [wandb_run.py:_redirect():2349] Redirects installed.
2025-01-27 09:31:11,652 INFO    MainThread:34536 [wandb_init.py:init():1009] run started, returning control to user process
2025-01-27 09:31:13,092 INFO    MainThread:34536 [wandb_run.py:_finish():2134] finishing run spark_park/text-classification/qm0izg83
2025-01-27 09:31:13,093 INFO    MainThread:34536 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2025-01-27 09:31:13,093 INFO    MainThread:34536 [wandb_run.py:_restore():2356] restore
2025-01-27 09:31:13,093 INFO    MainThread:34536 [wandb_run.py:_restore():2362] restore done
2025-01-27 09:31:14,725 INFO    MainThread:34536 [wandb_run.py:_footer_history_summary_info():3976] rendering history
2025-01-27 09:31:14,725 INFO    MainThread:34536 [wandb_run.py:_footer_history_summary_info():4008] rendering summary
2025-01-27 09:31:14,726 INFO    MainThread:34536 [wandb_run.py:_footer_sync_info():3937] logging synced files
